Course ID,Term,Session,Section,Subject,Catalog,Descr,Facil ID,Mtg Start,Mtg End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
056085,1171,1,015,INST,1001,UNO - Exchange Academic Year,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
007460,1171,1,006,BIOL,2140,GENETICS,ALLWINE304,2:00:00 PM,2:50:00 PM,N,N,Y,N,N,N,N
056084,1171,1,012,INST,1000,UNO - Exchange Semester,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
010462,1171,1,015,INST,1010,ISEP EXCHANGE - SEMESTER,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
056085,1171,1,012,INST,1001,UNO - Exchange Academic Year,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
008007,1171,1,003,CIST,3110,IT ETHICS,PKIEWIT252,5:30:00 PM,8:10:00 PM,Y,N,N,N,N,N,N
055955,1171,1,015,INST,1020,ISEP EXCHANGE - ACADEMIC YEAR,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
010535,1171,1,850,ISQA,4000,SPECIAL TOPICS IN ISQA,TOTLONLINE,,,N,N,N,N,N,N,N
056084,1171,1,007,INST,1000,UNO - Exchange Semester,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
056084,1171,1,010,INST,1000,UNO - Exchange Semester,,12:00:00 AM,12:00:00 AM,N,N,N,N,N,N,N
050041,1171,1,860,WGST,2010,INTRO TO WGST: SOC AND BEHAV,ARTSCI313,6:00:00 PM,7:15:00 PM,N,N,N,Y,N,N,N
050041,1171,1,850,WGST,2010,INTRO TO WGST: SOC AND BEHAV,TOTLONLINE,,,N,N,N,N,N,N,N
050042,1171,1,850,WGST,2020,INTRO WGST: HUMANITIES,TOTLONLINE,,,N,N,N,N,N,N,N
007002,1171,1,001,ACCT,2010,PRINCIPLES OF ACCOUNTING I,MAMMEL117,12:00:00 PM,1:15:00 PM,N,Y,N,Y,N,N,N
007002,1171,1,002,ACCT,2010,PRINCIPLES OF ACCOUNTING I,MAMMEL117,10:30:00 AM,11:45:00 AM,Y,N,Y,N,N,N,N
007003,1171,1,001,ACCT,2020,PRINCIPLES OF ACCOUNTING II,MAMMEL119,10:30:00 AM,11:45:00 AM,N,Y,N,Y,N,N,N
007003,1171,1,002,ACCT,2020,PRINCIPLES OF ACCOUNTING II,MAMMEL117,12:00:00 PM,1:15:00 PM,Y,N,Y,N,N,N,N
